Welle;Score;Fit;Anlage;Ort;Bundesland;PLZ;E-Mail;Telefon;System;Boxen;Bar;Eventlocation;Typ;Website;Quellstatus;Kontakt-Status;Notizen;Ansprache-Status;Mail 1 am;Nachfass 1 am;Nachfass 2 am;Rückmeldung
1;A+;Hoch;Golf Loft 44;Ebersbach an der Fils;Baden-Württemberg;73061;info@golfloft44.de;+49 7163 44688;TrackMan iO;5;Ja;Ja;Indoor-Golf-Lounge;https://www.golfloft44.de/;Aktiv – offizielle Seite bestätigt;Kontakt vollständig;"Fünf TrackMan-iO-Systeme; Bar- und Loungecharakter.";Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;PATO Golf München;München;Bayern;80802;golf@patoclub.de;+49 89 38667028;Garmin R50;4;Ja;Ja;Golfshop/Fitting/Training;https://golf.patoclub.de/de;Aktiv – aktuelle Quelle;Kontakt vollständig;User-Beispiel Café/Reitschule: Offizielle Seite nennt ehemalige Reitställe, 4 Premium-Simulatorboxen.;Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;Seven Tees München;München;Bayern;80807;muenchen@seventees.golf;+49 89 35061940;TrackMan;7;Ja;Ja;Indoor-Golf-Lounge;https://seventees.golf/;Aktiv – aktuelle Quelle;Kontakt vollständig;"User-Beispiel; offizielle Seven-Tees-Standortseite.";Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;Seven Tees Olching;Olching;Bayern;82140;olching@seventees.golf;+49 8142 66932222;TrackMan;3;Ja;Ja;Indoor-Golf-Lounge;https://seventees.golf/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seven-Tees-Standortseite.;Mail 1 gesendet (über muenchen@);10.09.2026;;;
1;A+;Hoch;TrackMe Hamburg;Hamburg;Hamburg;22761;info@trackme.de;+49 40 72551848;TrackMan 4;9;Ja;Ja;Reines Simulatorstudio;https://trackme.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite und regionale Quellen nennen größte Anlage mit 9 Boxen.;Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;MatchPlay Indoor Golf Göttingen;Göttingen;Niedersachsen;37077;webmaster@matchplaygolf.de;+49 551 30668800;TrackMan iO;8;;Ja;Reines Simulatorstudio;https://www.matchplaygolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite nennt 8 TrackMan iO Bays.;Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;KINETO Indoor Golf & Bar Meerbusch;Meerbusch;Nordrhein-Westfalen;40667;info@kineto.golf;+49 176 11146023;TrackMan iO;5;Ja;Ja;Eventlocation/Golfbar;https://www.kineto.golf/;Aktiv – offizielle Seite bestätigt;Kontakt vollständig;Fünf TrackMan-iO-Bays, Bar/Lounge, Events und 24/7-Training.;Mail 1 gesendet;10.09.2026;;;
1;A+;Hoch;GOLFHUB Indoor Golf Lounge Chemnitz;Chemnitz;Sachsen;09125;info@golfhub.de;+49 371 56070884;TrackMan;3;Ja;Ja;Indoor-Golf-Lounge;https://www.golfhub.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Buchungs-/Standortseite nennt Indoor Golf Lounge Chemnitz und Kontakt.;Mail 1 gesendet;10.09.2026;;;
1;A;Hoch;ForeYou Indoor Golf & Eventlocation;Karlsdorf-Neuthard;Baden-Württemberg;76689;info@foreyou.golf;;TrackMan;5;Ja;Ja;Eventlocation/Golfbar;https://www.foreyou.golf/;Aktiv – aktuelle Quelle;Telefon fehlt;Offizielle Seite nennt Indoor-Golf, Bar/Lounge und Eventlocation.;Mail 1 gesendet;10.09.2026;;;
1;A;Hoch;TrackMe Beach Hamburg Golf-Loft;Hamburg;Hamburg;22049;info@trackme.de;;TrackMan 4;2;Ja;Ja;Sport-/Freizeitzentrum;https://trackme.de/beach;Aktiv – aktuelle Quelle;Telefon fehlt;Kooperation TrackMe x Beach Hamburg, zwei TrackMan-Boxen.;Mail 1 gesendet (über info@ mit Hamburg);10.09.2026;;;
1;A;Hoch;APEX Indoor Golf Bonn;Bonn;Nordrhein-Westfalen;53229;info@apexig.de;;TrackMan iO / TrackMan 4;3;;Ja;Indoor-Golf-Lounge;https://www.apexig.de/;Aktiv – aktuelle Quelle;Telefon fehlt;Offizielle Seite nennt moderne TrackMan-Simulatoren und Buchungspflicht.;Mail 1 gesendet;10.09.2026;;;
1;A;Hoch;Pitching Zone Lübeck;Lübeck;Schleswig-Holstein;23560;info@pitching-zone.de;;TrackMan;7;;Ja;Reines Simulatorstudio;https://pitching-zone.de/;Aktiv – aktuelle Quelle;Telefon fehlt;Aktuelle Such-/Anbieterquellen nennen 7 Golfbays.;Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Birdies Indoor Golf Nürnberg;Nürnberg;Bayern;90441;kontakt@birdiesgolf.de;0151 54855925;TrackMan iO;6;;;Reines Simulatorstudio;https://www.birdiesgolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seite nennt 6 private Räume, 24/7 für Mitglieder und TrackMan iO.;Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Clubhouse Nürnberg;Nürnberg;Bayern;90431;info@clubhouse-nuernberg.de;+49 911 99996633;TrackMan;7;;;Indoor-Golf-Lounge;https://clubhouse-nbg.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Suchtreffer nennt 7 Simulatoren; Verzeichnis führt die Adresse.";Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Fairway Lounge Neustadt/WN;Neustadt an der Waldnaab;Bayern;92660;info@fairway-lounge.de;09602 1224;;;;;Indoor-Golf-Lounge;https://fairway-lounge.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Adresse über Trendgolf/INSOTEC-Kontext; Fairway Lounge nennt Indoor-Golf-Tarife und Kontakt.";Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Seven Tees Brunnthal;Brunnthal;Bayern;85649;brunnthal@seventees.golf;+49 89 26207031;TrackMan;;;;Indoor-Golf-Lounge;https://seventees.golf/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Seven-Tees-Standortseite.;Mail 1 gesendet (über muenchen@);10.09.2026;;;
1;B;Mittel;Shank Brothers;Prutting;Bayern;83134;trackman@shank-brothers.de;+49 151 74269145;TrackMan iO laut Suchumfeld;;;;Indoor-Golf-Lounge;https://shank-brothers.com/;Aktiv – aktuelle Quelle;Kontakt vollständig;"Strawberry-Tour führt Adresse und Kontakt; eigenständiger Anbieter.";Mail 1 gesendet;10.09.2026;;;
1;B;Mittel;Tap Inn Golf Lounge Wasserburg;Wasserburg am Inn;Bayern;83512;info@tapinn.de;;TrackMan;1;Ja;Eingeschränkt;Indoor-Golf-Lounge;https://www.tapinn.de/;Aktiv – aktuelle Quelle;Telefon fehlt;"Presse meldete Eröffnung; Strawberry-Tour listet Adresse.";Rückmeldung, Antwort im Entwurf;10.09.2026;;;10.09. Matthias: Lounge ohne Personal, Code-Zugang, Getränke auf Vertrauensbasis, betreute Feier nicht möglich, Firmen feierten bisher in Eigenregie. Antwort im Entwurf: Selbstversorger-Format einstellen, RUFF als Beispiel.
1;B;Mittel;EvoGolf Berlin;Berlin;Berlin;10557;kontakt@evogolf.de;030 20674844 / 0171 7429333;TrackMan;6;;;Eventlocation/Golfbar;https://www.evogolf.de/;Aktiv – aktuelle Quelle;Kontakt vollständig;Offizielle Eventseite nennt Standort, TrackMan-Simulatoren und Gruppenangebot.;Mail 1 gesendet;10.09.2026;;;
